,tabac,gum,year,num
19465,14.0,10.0,2001,11.0
19471,7.0,24.0,2001,7.0
19473,17.0,24.0,2001,10.0
19484,7.0,2.0,2001,6.0
19499,10.0,11.0,2001,4.0
19509,10.0,20.0,2001,4.0
19522,7.0,1.0,2001,11.0
19536,6.0,10.0,2001,10.0
19547,20.0,10.0,2001,52.0
19559,4.0,12.0,2001,51.0
19563,6.0,10.0,2001,4.0
19568,15.0,10.0,2001,1.0
19587,5.0,4.0,2001,1.0
19593,3.0,50.0,2001,7.0
19606,5.0,2.0,2001,2.0
19608,10.0,1.0,2001,4.0
19642,10.0,10.0,2001,52.0
19655,4.0,1.0,2001,11.0
19660,7.0,2.0,2001,5.0
19672,2.0,4.0,2001,7.0
19673,7.0,1.0,2001,8.0
19678,7.0,1.0,2001,51.0
19705,7.0,1.0,2001,12.0
19706,7.0,3.0,2001,51.0
19719,2.0,1.0,2001,3.0
19726,10.0,14.0,2001,3.0
19729,5.0,10.0,2001,6.0
19770,10.0,5.0,2001,9.0
19796,20.0,3.0,2001,5.0
19826,14.0,4.0,2001,4.0
19835,1.0,10.0,2001,5.0
19841,7.0,8.0,2001,12.0
19879,10.0,7.0,2001,8.0
19924,8.0,1.0,2001,52.0
19935,7.0,1.0,2001,10.0
19947,7.0,7.0,2001,8.0
19981,7.0,10.0,2001,5.0
19993,5.0,4.0,2001,4.0
20074,7.0,1.0,2001,6.0
20087,4.0,12.0,2001,7.0
20100,4.0,20.0,2001,55.0
20110,7.0,5.0,2001,9.0
20113,2.0,1.0,2001,51.0
20201,4.0,2.0,2001,8.0
20221,7.0,10.0,2001,5.0
20229,15.0,10.0,2001,1.0
20230,7.0,1.0,2001,2.0
20237,3.0,5.0,2001,10.0
20244,5.0,3.0,2001,17.0
20256,7.0,4.0,2001,13.0
20279,7.0,10.0,2001,8.0
20281,5.0,2.0,2001,12.0
20287,10.0,5.0,2001,4.0
20295,10.0,1.0,2001,51.0
20310,14.0,10.0,2001,1.0
20326,5.0,10.0,2001,8.0
20378,10.0,1.0,2001,1.0
20389,5.0,4.0,2001,12.0
20393,7.0,1.0,2001,4.0
20409,7.0,5.0,2001,8.0
20448,10.0,10.0,2001,51.0
20462,7.0,6.0,2001,7.0
20466,7.0,7.0,2001,51.0
20478,10.0,2.0,2001,4.0
20534,7.0,4.0,2001,4.0
20624,7.0,2.0,2001,51.0
20634,10.0,10.0,2001,8.0
20652,6.0,3.0,2001,2.0
20662,1.0,2.0,2001,1.0
20683,7.0,4.0,2001,7.0
20712,14.0,1.0,2001,2.0
20715,5.0,20.0,2001,6.0
20725,7.0,1.0,2001,6.0
20741,7.0,7.0,2001,51.0
20744,10.0,24.0,2001,2.0
20746,4.0,12.0,2001,4.0
20750,1.0,12.0,2001,9.0
20755,7.0,3.0,2001,3.0
20762,5.0,3.0,2001,10.0
20765,2.0,4.0,2001,13.0
20774,10.0,1.0,2001,10.0
20782,4.0,1.0,2001,7.0
20795,6.0,4.0,2001,8.0
20801,7.0,5.0,2001,53.0
20887,8.0,1.0,2001,12.0
20888,7.0,2.0,2001,51.0
20910,5.0,1.0,2001,9.0
20930,1.0,2.0,2001,3.0
20937,4.0,5.0,2001,13.0
20948,2.0,5.0,2001,5.0
20952,2.0,1.0,2001,10.0
20953,7.0,2.0,2001,11.0
20956,7.0,7.0,2001,14.0
20958,7.0,1.0,2001,53.0
20959,3.0,1.0,2001,54.0
20975,7.0,2.0,2001,7.0
20984,4.0,12.0,2001,8.0
20991,3.0,24.0,2001,15.0
21003,7.0,2.0,2001,9.0
21011,3.0,4.0,2001,4.0
21012,10.0,1.0,2001,5.0
21016,3.0,7.0,2001,9.0
21026,7.0,5.0,2001,10.0
21027,2.0,4.0,2001,11.0
21040,5.0,1.0,2001,6.0
21046,7.0,2.0,2001,51.0
21047,2.0,1.0,2001,52.0
21060,7.0,10.0,2001,52.0
21064,3.0,24.0,2001,4.0
21068,14.0,31.0,2001,8.0
21215,7.0,2.0,2001,9.0
21227,4.0,1.0,2001,10.0
21245,7.0,1.0,2001,2.0
21252,5.0,3.0,2001,9.0
21253,6.0,5.0,2001,51.0
21266,3.0,3.0,2001,14.0
21269,10.0,3.0,2001,52.0
21276,5.0,5.0,2001,4.0
21297,20.0,2.0,2001,15.0
21308,15.0,15.0,2001,2.0
21387,10.0,5.0,2001,2.0
21389,10.0,10.0,2001,4.0
21402,10.0,20.0,2001,6.0
21407,5.0,20.0,2001,51.0
21412,8.0,10.0,2001,5.0
21413,10.0,20.0,2001,6.0
21420,10.0,10.0,2001,53.0
21428,2.0,4.0,2001,8.0
21429,20.0,10.0,2001,9.0
21441,7.0,2.0,2001,4.0
21480,14.0,2.0,2001,1.0
21499,7.0,1.0,2001,10.0
21528,5.0,5.0,2001,1.0
21544,30.0,4.0,2001,11.0
21545,7.0,3.0,2001,51.0
21558,3.0,10.0,2001,6.0
21561,14.0,10.0,2001,9.0
